job_name,location,job_post_date,job_description
Automation Engineer Level 2,"Bodens kommun, Norrbotten County, Sweden",2025-03-23 13:09:20,"Research shows that women and other under-represented groups within our industry hesitate to apply unless they tick most boxes of a role description. At Stegra, we are building an impact company with sustainability at its core. We need a diverse, inclusive, and authentic team to rally behind our purpose of de-carbonizing hard-to-abate industries, starting with steel. So, if you are equally passionate about our purpose yet concerned that your experience doesnt perfectly align with the qualifications stated in the job advert, we strongly encourage you to apply anyway. You may be just the right candidate, either for this role or for another upcoming role in our rapidly growing business. About Us Stegra, Formerly known as H2 Green Steel, is on a mission to disrupt the global steel industry by producing green steel, with the end goal of bringing down CO2 emissions to zero. By using green hydrogen and fossil-free electricity instead of coal water and heat will be our primary emissions. By 2030, our ambition is to produce 5 million tonnes of green steel annually in our fully integrated, digitalized, and sustainable plant in Boden, located in northern Sweden - currently in construction phase. But this is just the beginning our expertise in green hydrogen will enable us to decarbonize other industries in addition to steel, and we look forward to whats next in store for us. We are looking for talented, innovative, and purpose-driven people to join our rapidly growing and diverse team. Our employees get to learn everyday, implement the latest technology and test and put their ideas into practice. Together, we are building an impact company with sustainability at its core for our people, customers, investors, society, and planet. Automation Engineer Level 2 Stegra offers an exciting opportunity for an Automation Engineer to be part of building Europes first green steel mill, crucial to our mission to decarbonise hard-to-abate industries. As a key member of our operations team in Boden, you will contribute to the design and engineering of automation systems for the plant. We are looking for a candidate with extensive experience in driving large, innovative, and challenging automation projects. Your proven track record should demonstrate the successful implementation of advanced automation systems in relevant industries. We are looking for Automation engineers for the following areas EAF, Hot Mill, Cold Mill Galv line. Responsibilities Oversee hardware, systems and networks essential to production automationSupport production goals by driving productivity improvements, lead automation improvement projects from design to implementationAnalyze production data to identify performance bottlenecks and ensuring accurate data collection and storageDevelop and maintain detailed documentation for automation systems as well as monitoring system performanceEnsure that automation systems meet safety, environmental and quality standardsWork directly with maintenance and operations teams to foster a safety-focused, efficient environment, supporting both plant-wide automation reliability and troubleshooting needs Qualifications Significant automation experience in the metals industryExperience with server and network device configuration and maintenanceExperience with PLC programing Siemens preferred, data acquisitionanalysis, and HMI programmingHigh level programming with experience in C, C, Java, database administration, Visual Studio, MS Windows serversystem administration, MS productivity tools, TCPIP communications Experience with SMS automation systems for steel productionHands-on experience in SMS Level 2 systemsStartup andor greenfield experience.Demonstrated safety focus and willingness to proactively apply it in a team environmentQuality and detail oriented with superior problem solving and communication skillsHighly motivated, self-directed, hands-on approach, and willing to put in extra hours or on-call support What We Can Offer You If you are passionate about making actual change and having a positive impact on society and our planet, Stegra offers a unique opportunity to be part of a fun and professional team with high ambitions. You will get the opportunity to shape your future career together with a company focusing on creating a culture where everyone can thrive and feel a sense of belonging. In the end, we know that Stegras growth and success is dependent on our people and we cant wait to shape the future of steelmaking and other industries together as a team. This role is based in Boden and for the company H2GS Boden AB. Founded in 2020, Stegra formerly H2 Green Steel was created with the purpose to decarbonize hard-to-abate industry. Construction of our first project an integrated plant producing green hydrogen, green iron and green steel is well underway in Boden, Sweden. Slashing emissions using green hydrogen and renewable electricity, were starting a clean industrial revolution. Steel is just the beginning. We are building a diverse and rapidly growing team spread across our site and offices in Boden and Stockholm, targeting close to 1500 employees by the end of 2025. Together, we focus on delivering green impact for our people, customers, investors, society and planet."
On-site Technical Support Engineer,"Stockholm, Stockholm County, Sweden",2025-03-23 11:41:12,"Options Technology Support On-Site Engineer Location Stockholm, Sweden Salary Competitive Join our team of expert engineers in the Options Support Team Working for Options Developing and engaging our people is a strategic priority for our business. We are looking for talented individuals to join our team and contribute to Options future growth and success. We want to hear from candidates that are motivated, self-driven and have a passion to learn and develop their skills in the world of financial technology. Who are we Options is the largest global financial technology company headquartered in Belfast. We are at the forefront of banking and trading infrastructure, serving clients globally with offices in New York, Chicago, Toronto, London, Cambridge, Paris, Hong Kong, Tokyo, Singapore, and Auckland. At Options, our services are woven into the hottest trends in global tech, including high-performance Networking, Cloud, Security, and AI Artificial Intelligence. Why Options Global travel We have offices in New York, Chicago, Toronto, London, Belfast, Dublin and across Asia.Continuous career development opportunities We provide professional skills development and technical training.The chance to be a part of a self-sufficient, successful team The Options team operates in a fast-paced environment with endless opportunities for innovation and forward-thinking.Industry Leaders We serve 700 clients, including the top 40 global banks, and we are highly acquisitive, giving opportunities to be involved in deal teams. The Role As an Options Technology Support On-Site Engineer, you will play a critical role in supporting our options trading operations and technology infrastructure. You will work closely with the clients technology team, and other technology professionals to ensure the smooth operation of our options trading platform. This is an exciting opportunity to work in a fast-paced environment and contribute to the success of a global alternative investment firm. We are seeking a talented and motivated Options Technology Support On-Site Engineer to join our dynamic team in Stockholm. Were looking for someone who has technical proficiency in Bachelors degree in computer science, information technology, or a related field or equivalent experience.Technical Expertise desirable to have specifically strong knowledge of 365, Azure, Endpoint Management, Device Deployment. AV troubleshooting.Experience Minimum of 1-2 years of experience in a similar role within the financial services industry, providing on-site technical support and troubleshooting.Problem-Solving Skills Ability to analyse complex technical issues, identify root causes, and propose effective solutions. Strong troubleshooting and diagnostic skills with the ability to handle high-pressure situations calmly.Communication and Interpersonal Skills Excellent verbal and written communication skills with the ability to convey technical information clearly and concisely. Strong interpersonal skills to build relationships with clients and collaborate effectively with cross-functional teams.Client Focus Demonstrated ability to understand and fulfil client requirements while providing exceptional customer service. Proactive in anticipating client needs and exceeding their expectations.Adaptability and Flexibility Ability to thrive in a fast-paced and dynamic environment. Willingness to adapt to changing priorities and take on additional responsibilities as required. Typical Job Duties Would Include On-Site Technical Support Serve as the primary technical point of contact for the client, providing on-site support for all options trading technology systems.System Monitoring and Maintenance Monitor the health and performance of internal systems, ensuring that they are operating optimally. Conduct regular maintenance activities, including software updates and configuration changes, to keep systems up to date.Troubleshooting and Issue Resolution Diagnose and resolve technical issues. Escalate complex problems to appropriate internal teams and coordinate with them to find timely solutions.Incident Management Respond to incidents and service requests raised by the client, adhering to defined service level agreements SLAs and following established incident management processes. Document incidents and their resolutions accurately.Client Relationship Management Build and maintain strong relationships with key client stakeholders, understanding their requirements and proactively addressing their concerns. Serve as a technical advisor to the client.System Enhancements and Upgrades Collaborate with the Options Technology development team to implement system enhancements and upgrades. Participate in testing and validation activities to ensure smooth deployment.Training and Knowledge Sharing Conduct training sessions for the clients technical staff to enhance their understanding of the options trading systems. Share technical knowledge and best practices with both internal teams and the client to foster continuous improvement. Were Also Looking For Candidates With Strong research, writing and communication skills.Exceptional organisational skills and strong attention to detail.Desire to travel and see the world.Ability to work independently and manage your own projects in a professional manner.A passion for innovation and the financial technology sector.Project management skills and proven ability to manage own workload. How to apply Please submit a CV and cover letter to the Options Technology Support On-Site Engineer role on the Options Career Page at httpswww.options-it.comcareers. The CV must be a maximum of two pages and should include a section on your hobbiesinterests. On the covering letter, please detail the role you are applying to, along with your availability."
FPGA Developer | Malmö,"Malmo, Skåne County, Sweden",2025-03-23 18:21:51,"We are seeking an experienced FPGA Developer to spearhead the development of neutron detector readout systems. In this role, you will lead a team of FPGA developers, ensuring the successful design, deployment, and testing of FPGA-based systems in collaboration with detector, controls, and instrument scientists. Key Responsibilities Eensuring high-quality design and implementation. Develop FPGA-based readout systems for neutron detectors. Collaborate with cross-functional teams, including scientists and engineers, to optimize system performance. Deploy, test, and validate FPGA solutions in real-world applications. Troubleshoot and improve existing FPGA designs for performance, reliability, and scalability. Ensure compliance with industry standards and safety regulations. Required Qualifications Strong experience in FPGA development, preferably with VHDLVerilog. Hands-on experience with FPGA simulation, verification, and testing. Experience with hardware debugging tools and methodologies. Ability to lead and mentor a team of FPGA engineers. Strong problem-solving and analytical skills. Excellent communication skills in English Swedish is a plus. Nice-to-Have Skills Experience in scientific instrumentation or neutron detection. Familiarity with high-speed data acquisition and signal processing. Knowledge of hardwaresoftware co-design."
Associate Professional Services Consultant Intern 2025,"Stockholm, Stockholm County, Sweden",2025-03-23 13:21:29,"Description The roles start in June 2025. At Amazon Web Services AWS, we are working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is continually evolving and is a place where motivated employees thrive and also where employee ownership and accountability lead to meaningful results. Amazon is a place where builders can build. Our internships offer exceptional opportunities for you to grow your technical and non-technical skills. From day one, you will be working with experienced engineers who love what they do. Are you ready to embrace the challenge Come build the future with us. Professional Services Consultant Intern As a Professional Services intern, you will gain hands-on experience in cloud computing, develop business acumen, and learn about Amazons peculiar culture. You will work on projects, have the opportunity to obtain the AWS Cloud Practitioner certification, and attend professional development events. You will partner with customers and several AWS teams to craft highly scalable, flexible and resilient cloud architectures that address customer business problems. The program offers the opportunity to specialize in an area of interest including DevOps Specialist - A leader in building advanced computing systems that harness continuous integrationcontinuous deployment pipelines and utilize the strengths of cloud computing to build scalable and economical systems for clients. Cloud Infrastructure Architect - An expert in cloud-based networking and system rollouts. CIAs specialize in network performance, infrastructure provisioning, and building Application Programming Interfaces APIs Application Developer - AppDev resources are specialists in designing applications that run natively in the cloud. They are experts in building programs that run on any number of platforms including virtualized instances, containers, or server less architecture. Data Analytics - Data Analytics role supports our services that leverage data and produce business insights, which may include using Machine LearningArtificial Intelligence MLAI. Helping our customers use and integrate Big Data services in what is arguably our industrys most exciting space. The portfolio of services covers EMR Hadoop, DynamoDB NoSQL, MongoDB, and Apache Cassandra Security Consultant - supports our services that have a focus on enabling security specialists using AWS Services including Identity Access Management IAM, GuardDuty, Shield, Key Management Service KMS, CloudTrail, CloudHSM, Inspector etc. Within AWS, security is job zero, and we believe that solid security practices are the foundation for using the Cloud. We are looking for candidates who are passionate about working with products targeted for security professionals. Upon successful completion of the internship program, select interns will receive a full-time offer to join as an Associate Professional Services Consultant which includes an initial training onboarding program, after completion of their degree program. Note Applications are reviewed on a rolling basis. For an update on your status, or to confirm your application was submitted successfully, please login to your candidate portal. Please note that we are reviewing a high volume of applications and appreciate your patience. Inclusive Team Culture Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity CORE and AmazeCon gender diversity conferences. Amazons culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust. WorkLife Harmony Our team puts a high value on work-life harmony. It isnt about how many hours you spend at home or at work its about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment AND WE encourage you to find your own balance between your work and personal lives. Mentorship Career Growth Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and were building an environment that celebrates knowledge sharing and mentorship. Our senior members enjoy one-on-one mentoring. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded engineer and enable them to take on more complex tasks in the future. EMEA AUTA Team Basic Qualifications Currently in your penultimate or final year of one of the following Computer Science, Computer Engineering, Computer Information Systems or related sciencetechnical fields. Experience with one of the following programming languages Java, Python, Ruby, Node.js, C, or C Experience with two or more of the following Networking fundamentals, Security, Storage or Databases Relational andor NoSQL, Operating Systems Unix, Linux, andor Windows Fluent in English and Swedish Preferred Qualifications Returning to your degree after completing the internship. Available to work full-time for 12 weeks Good communication skills and ability to effectively articulate technical challenges and solutions to both large and small audiences Demonstrated ability to adapt to new technologies and learn quickly Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice httpswww.amazon.jobsenprivacy_page to know more about how we collect, use and transfer the personal data of our candidates. All offers are conditional on reference and successful background screening check. This will include previous employment verification, qualification verification if relevant and a relevant criminal check. ltbrgtltbrgtAmazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice lta hrefhttpswww.amazon.jobsenprivacy_pagegthttpswww.amazon.jobsenprivacy_pageltagt to know more about how we collect, use and transfer the personal data of our candidates. Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit lta hrefhttpsamazon.jobscontentenhow-we-hireaccommodationsgthttpsamazon.jobscontentenhow-we-hireaccommodationsltagt for more information. If the countryregion youre applying in isnt listed, please contact your Recruiting Partner. Company - AWS EMEA SARL Sweden Branch - G54 Job ID A2873100"
Data Engineer,"Stockholm, Stockholm County, Sweden",2025-03-23 13:28:14,"What We Do Swiftly gaining ground as Swedens industry leader in battery storage and expanding rapidly in selected European markets, Flower is on a mission to enable the energy system of tomorrow. With industry-leading AI software at its core, our service includes stabilizing the energy system by enhancing predictability and flexibility for both energy producers and consumers. By combining pioneering technology with a portfolio of flexible energy assets, we break new ground towards a fossil-free energy system, allowing clean energy to power society. The Team Were committed to shaping tomorrows energy system with flexible power at its core. Our ambitious team shares a common goal, working together to create a sustainable future. We are now looking for a passionate and skilled Data Engineer based in Stockholm to fulfill that goal with us. About The Role We are looking for a passionate, self-driven and dedicated Data Engineer to join our Implementation and Operations team. As a Data Engineer, you will be responsible for designing, building, and maintaining our data pipelines and systems that power our data-driven solutions. You will also work closely with our Data Scientists from the Trading Strategy and Modeling team. Your work will contribute to the development and maintenance of an important stage in our solutions, by making sure that the data travels seamlessly from end to end in our pipelines. What Youll Do Develop and maintain scalable, robust, and efficient data pipelines Build and optimize data ingestion and processing systems for structured and unstructured data Work with the data science team to maintain data models and build and maintain MLOps and ETL pipelinesImplement and maintain data quality checks, validation, and monitoringCreate and maintain CICD pipelines in GitHub and AWSBuild and maintain data lake and storage solutionsCollaborate with cross-functional teams to define data requirements and develop data-driven solutionsDesign and implement data security and privacy controlsCreate and maintain documentation of data pipelines, processes, and procedures Who You Are 3 years of experience as a Data Engineer or similar roleStrong programming skills in Python and SQLFamiliarity with DevOps practices such as Docker, CICD, git, testingFamiliarity with cloud data services, preferably from AWS, such as LambdaUnderstanding of data modeling, data storage, and database designKnowledge of data security and privacy regulations and best practicesExperience working with Databricks is considered a merit. Location Our beautiful office is located in the heart of Södermalm just a short walk from Slussen subway station. We encourage in-office collaboration but support a hybrid work model. Apply Our corporate language is English, as we have over 20 nationalities in the office. We therefore appreciate it if you could submit your CV in English. Throughout the recruitment process you will meet with the People Talent Partner, Head of ImpOps, Data Engineers, and our CEO John. Our corporate language is English, as we have over 20 nationalities in the office, so we want you to submit your CV in English. We look forward to hearing from you"
Software QA Engineer,Sweden,2025-03-23 22:30:54,"Note This position is open to remote applicants based in Sweden only. Job Title Information Security Analyst Location Remote. Sweden ONLY. Employment Type Salaried Full-Time. Salary 50,000 SEK - 80,000 SEK per month depending on experience We represent a US-based fast-growing data and analytics company on a mission to help businesses make smarter decisions. By combining cognitive psychology and data science, we create predictive, people-based data that helps brands understand who their customers are, what they do, and why they do it. Our team includes experts from various fields including data science and psychology, and we pride ourselves on a culture that values Collaboration, Respect, Ethics, Accountability, Trust, and Excellence. We offer competitive pay and benefits, a strong focus on work-life balance, and plenty of opportunities for personal and professional growth. Position Overview Were looking for an experienced Information Security Analyst to help protect our network and systems from cyber threats. Youll play a key role in designing, implementing, and maintaining our security infrastructure, responding to potential threats, and ensuring our team follows best practices to stay secure. Key Responsibilities Administer and maintain security systems and toolsDocument our security infrastructure and updatesCollaborate with vendors and external partnersEnsure system backups are completed and workingPlan and apply security measures to protect data and systemsStay updated on software patches and security threatsLead end-user security awareness trainingMonitor alerts and generate reports to confirm best practicesConduct regular audits and test existing security measuresTrack and respond to vulnerabilities and incidentsSupport broader security and compliance effortsDevelop and maintain business continuity and disaster recovery plansOwn and manage the Incident Response PlanHandle onboardingoffboarding and software provisioning for staff Qualifications Bachelors degree in Information Security or a related fieldIndustry certifications such as CISSP, CISM, CEH are a big plus5 years of experience in security operationsProfessional English working proficiency or betterStrong project management and organizational skillsExperience with security assessments and risk analysisAble to handle sensitive information with confidentialityDetail-oriented, proactive, and results-drivenExcellent written and verbal communication skills, especially when reporting to leadership Skills data protection,security assessments,incident response,backup solutions,report writing,network security,information security standards,auditing,security operations,project management,cybersecurity,network security implementation,document generation,system administration,risk analysis,communication,information security,security training,security awareness training"
Production engineer,"Karlskrona, Blekinge County, Sweden",2025-03-24 07:55:37,"If you want to be part of a strong and committed team with lots of opportunities and interesting challenges, you want to work in a dynamic environment where your creativity and problem -solving ability come into its own, you would like to be part of a flexible organization that is a world leader in its industry then it is you we are looking for service as a production engineer you become part of the production technology. You will have the opportunity to work with the development of people, processes and machines in an expansive company that is characterized by a strong desire to prioritize and drive improvement through an innovative way of working. Main tasks support the production staff in daily issues about safety, quality and environment. Develop the working method together with the production team, both method and personnel. Communicating between product designers, the production committee and the production. Secure a production method and tools that enable safe and effective production. Qualifications to succeed in the role should be a creative and curious problem solver with great commitment and proactive working methods. Take initiatives as well as responsibility and ownership for work tasks. HA good cooperative ability and social skills. Communicating with others and positively influence through conviction and knowledge. and English fluently. Ha good system and computer experience. Speed, simplicity and flexibility are key words for us at Roxtec and should feel natural for you as well. Read more about Roxtec Core Values, our seven core values ​​that were established about 30 years ago and which still constitute the guideline for our operations. They encourage us to focus on the customer experience and remind us that we, each and together, contribute to Roxtec's success. You will find Roxtec Core Values ​​here. The application when you have questions about the service, so please contact Johan Åberg, Global Operation Engineering Manager, 46 733 31 31 05, or Elin Jurjaks, HR Manager Sweden, 46 733 31 31 89. Selection and interviews are ongoing, so you are welcome with your application as soon as possible, but no later than 2025-04."
Senior Developer,"Umeå, Västerbotten County, Sweden",2025-03-24 08:19:22,"Senior Developer Join Our Global Team and Shape the Future of Fiber Broadband About COS SystemsWe are a global software company that helps our clients connect people to high-speed fiber broadband, enabling their full participation in todays digital world and economy. Our headquarters are located in Umeå, Sweden, but we have a global presence with team members in the USA, which, together with Canada, is our most important market. You will work in an international environment where innovation and collaboration are key. About the roleAs a Senior Developer at COS Systems, you will play a crucial role in designing, developing, and maintaining our industry-leading software solutions. You will work closely with our product, support, and test teams to build scalable and high-performing applications that drive the fiber broadband industry forward. Your expertise will contribute to solving complex challenges and improving system architecture.This is an exciting opportunity for an experienced developer who thrives in a dynamic environment and wants to make a significant impact on both technology and business growth. You will have the chance to influence product development, optimize performance, and ensure our solutions remain at the forefront of the market. Wed love to hear from you if youHave extensive experience in software development, preferably with a background in web-based applications and cloud solutions.Are proficient in modern programming languages such as C, JavaScriptTypeScript, and frameworks like .NET and React.Have strong skills in database management SQL, NoSQL and system architecture.Thrive in a collaborative, agile environment and enjoy working closely with colleagues to drive innovation.Have experience with DevOps, CICD pipelines, and cloud platforms such as Azure or AWS a plus.Are a problem solver who enjoys analyzing complex technical challenges and finding efficient solutions.Have excellent communication skills and can effectively work with international colleagues across different time zones.Are fluent in both written and spoken English.Have experience with Microsofts development environments C, MS-SQL, Azure DevOps. We offer youA unique opportunity to be an important part of a fast-growing global tech company.A dynamic work environment with a strong company culture that values collaboration and expertise.A fun and very nice office environment in central Umeå, with the flexibility to work partially remotely.A supportive manager who encourages your personal and professional growth and gives you the freedom to achieve great results in your own way.A competitive salary and benefits package. Are you the experienced developer were looking for Apply now and join our global team Questions about the position are welcomed and directed toMattias Viberg, Head of Software Engineering mattias.vibergcossystems.comDepartment DevelopmentRole Senior Software Engineer full-time entry-levelLocation Umeå"
Cybersecurity Risk Assessment Engineer,"Ludvika, Dalarna County, Sweden",2025-03-23 11:37:37,"Share this job The Opportunity We are seeking a Cybersecurity Risk Assessment Engineer who will play a crucial role in identifying and addressing cybersecurity risks within our projects. Your expertise will enable you to ask insightful questions at the right moments. The HVDC High Voltage Direct Current division at Hitachi Energy focuses on the development, manufacturing, and global sales of DC transmission systems. HVDC technology is essential for transmitting electricity over vast distances and for undersea cable power transmission. It also facilitates the interconnection of power systems. Within the HVDC Cybersecurity team, we are dedicated to maintaining and enhancing a robust level of cybersecurity across our projects and service agreements. Our work environment is friendly, diverse, and multidisciplinary. Here, you will have the opportunity to thrive, taking on responsibilities while enjoying the freedom to shape the design and implementation processes. How Youll Make An Impact You will work with Cybersecurity Risk Assessments according to the 62443 standards.You will be part of the Risk Mitigation Plans.Ensure we achieved the decided Security Levels. Your background You have 8 years of experience from IT-OT security and risk assessments. You have been part of architecture work and project execution.You demonstrate mastery of the 62443 framework.Knowledge of risk assessments according to other frameworks such as the ISO 27000 and NIST are meritorious.You are an engaged person who thrives in a constantly changing environment and enjoys collaboration with employees, peers and beyond. Proficiency and fluency in English is required since you will be part of an international setting. What We Offer Collective agreementFlexible working timeHealth care and wellness allowanceFantastic career possibilities within Hitachi Energy both within Sweden and globallyMentor to support you throughout onboard phaseVarious trainings and education supporting employee developmentDiversified company with over 70 nationalities working in SwedenSupplementary compensation for parental leaveEmployee Benefit Portal with thousands of discounts and perks More About Us Our flexible working practices help you optimize personal and business performance while creating an environment where all employees can develop their skills and grow. More information Recruiting Manager Björn Löfgren, bjorn.x.lofgrenhitachienergy.com, will answer your questions about the position. Union representatives - Sveriges Ingenjörer Mikael Hjort, 46 107-38 29 86 Unionen Fredrik Holmgren, 46 107-38 21 85, Ledarna Frank Hollstedt, 46 10 7387043. All other questions can be directed to Talent Acquisition Partner Fredrik Soder, fredrik.soderhitachienergy.com. Dont hesitate apply today and let us learn more about you and the unique contributions you can bring to our team Apply now Location Vaesteras, Vastmanland County, Sweden Ludvika, Dalarna County, Sweden Job type Full time Experience Experienced Job function Engineering Science Contract Regular Publication date 2024-12-20 Reference number R0065447"
Network Engineer,"Stockholm County, Sweden",2025-03-24 08:20:37,"Senior Technical Network Engineer - Global Network FoundationJoin our Core Platforms Network and Infrastructure unit, where innovation drives us. We are transforming technology with cloud services, APIs, and automation. Our Global Network Foundation team enhances network reliability, performance, and compliance. As a Technical Network Engineer, you will automate network configurations, lead system upgrades, and ensure seamless operations in the global network. You will troubleshoot, provide Level-3 support, and collaborate with stakeholders to shape our strategy. Your expertise in IP Networking, cloud networking, and network automation is crucial. ResponsibilitiesConfigure and install network devices routers, switches, load balancers, VPN, QoSPerform network optimizations and upgrades, including service packs and security configurationsMonitor system resource utilization, trending, and capacity planningProvide Level-3 support and troubleshooting using tools like Wireshark and NetFlowImplement policies and procedures in conjunction with the security teamDevelop and manage network solutions globally e.g., routing, switching, SD-WAN, ACI Data Centre EnvironmentDesign and plan network infrastructure projects, including transition planningDocument network setups and ensure knowledge sharing within the teamContinuously improve solutions through automation, upgrades, and lifecycle management LCMFollow Service Management Processes, including Change, Configuration, Problem, and Incident ManagementStay current with industry trends and best practices, making recommendations for cloud future state architectures and roadmapsDeep understanding of IP Networking and protocols IPSEC, HSRP, BGP, OSPF, 802.11, QoSHands-on experience with network diagnostic tools e.g., Wireshark, NetFlowExpertise in cloud networking e.g., AzureProficiency in network troubleshooting and automation e.g., scripting with PythonExperience with DevOps methodology and toolsExperience from large enterprise networks and or ISPTelco domainEnglish proficiency We prefer that you also possess the followingCCNP or higher CCIECISSP valuedSolid understanding of the OSITCPIP modelDegree in Computer Science or related fieldExperience with Agile methodology and tools e.g., JiraConfluenceKnowledge of ServiceNow and network automation conceptsExperience with network security products IPS, proxy, firewall, reverse-proxy, load balancing"
