job_name,skills
Automation Engineer Level 2,
On-site Technical Support Engineer,AI
FPGA Developer | Malmö,
Associate Professional Services Consultant Intern 2025,"AWS,AWS,AWS,AWS"
Data Engineer,"AI,Python"
Software QA Engineer,
Production engineer,
Senior Developer,"NoSQL,Azure,AWS,Azure"
Cybersecurity Risk Assessment Engineer,
Network Engineer,
Data Engineer to B3 Skilled in Malmö!,"SQL,Azure"
IT Developer - Automation & APIs (Work From Home),"SQL,SQL,SQL"
Backend Developer  Intern,"Node.js,AWS,Node.js,JavaScript,AWS,AWS"
Application Consultant Trainee,"SQL,SQL"
Test Engineer,
Future Talent Programme - Application of Interest,
Data Engineer,"AI,AI,AWS"
Automation Developer,Java
Assignment Leader Railway Multidisciplinary Assignment,
Embedded SW Consultant (Android Framework),
Product Manager (Data) - Remote,
Full Stack Engineer (Python),"Python,React,NoSQL,SQL,AWS"
Lead Developer E-commerce & Performance Marketing,
Other services (spontaneous application),
Researcher Technology Prototyping,
(Associate) Banking Software Specialist for Collateral Management solutions - based in Luxembourg,"Java,AWS"
[Full Remote] Junior Web Developer (Annual Salary: €60k-€120k),"JavaScript,JavaScript,React"
Senior Developer,Azure
Data Analyst - Blockchain / Web3 / Data Mining,"SQL,SQL,Python"
Software Engineer - Sectra Medical,Azure
Software Support Specialist,
Win an Internship at VISS.AI,"AI,AI,AI"
Senior Software developer with CI/DevOps,Python
Two unit managers to function support,
Infotainment testing (Media/Bluetooth/Tuner),Python
Dagab Seeking MasterData Administrator Data Quality,
Data Engineer to SVT’s DataOps team,"Python,Docker"
"Data Scientist, Sweden - BCG X","AI,AI,Python"
Back End Developer,
"Senior Machine Learning Engineer, Personalization","AI,AI,Kubernetes,Kubernetes"
Senior AI Engineer,"AI,AI,AI,AI,AI,AI,AI,AI,AI,AI,AI,AI"
Join us in Örebro!,
Programmatic Specialist,AI
"AI Engineer, Sweden - BCG X","AI,AI,AI,AI,AI,Python"
Mechanic,
System engineer,
Full Stack Developer (Work From Home),"TypeScript,Python,Django,AI,Django"
Senior Java Developer,"Java,Java,Java,Java"
Vue.js Developer Shiplink,"Vue.js,AWS"
Security Reviewer to SYSTRA AB,
Agile leader in IT,
Procurement Development Specialist,
Senior Software Engineer (Fullstack: .NET/React/AWS),"AWS,React,AWS"
Technology manager/leading signal projector,
Senior Software Architect,
Research Engineer/Investigator within the Calls of the Transport System,
Optimization Engineer,
"Larare i Ämnena ma/no/tk till seentorpsskolan, Vikariat",
Integration specialist,"Azure,Azure,Azure"
Quality engineer,
Process Specialist,
QA Lead - Malmo - 144566,
DevOps Engineer,
Experienced quality control,
Summer vacancies to Scania Luleå,
Group Accounting Manager to listed SAAS company,
Solution Architect (11 month contract) - IT Systems (remote mostly) - €320 per day,"Azure,Azure,Azure"
Senior Backend Engineer (Energy Deal),
"Kitchen Assistant Institution Hinseberg, holiday substitute",
iOS developer,
"Automation Engineer, Getinge SteriLization",
Archive officer to the Swedish Tax Agency's central archive,
Integration specialist,"AWS,Azure,NoSQL"
Technical Project Manager Trainee,
Information Security Officer - Off Board Vehicle Systems,
Project team lead for software engineers,
Preparators of vehicle companies in Södertälje,
Senior Data Analyst,"SQL,Python"
Instructors for basic training battalion,
Development engineer within GIS to VA Syd,
Quality Engineer,
Spontaneous application production personnel,
Education Adjutant for basic education battalion,
Backend developer and Azure specialist,"Azure,Azure,Azure,Azure"
System developer for B3 Vibe!,Java
Electrical Engineer - Gavle - 144543,
Digital Transformation Consultant,
CNC technician,
Skadecoach,
Operating technicians in district heating,
Project leader to Automation Region,AI
Lead Electronic designer till Leine Linde,
Senior audit consultants to EY,
Software Engineer - Sectra Medical,Azure
Technical Manager,
Managing Manager to the Labor Market Administration,
Security Engineer,
Embedded Developer,
Senior DevOps Engineer - Monitoring & Observability,"AWS,AWS,AWS,AWS,AWS,AWS,Kubernetes,AWS,AWS,AWS,Azure"
Partner Engineer - Developer Relations / Blockchain / Start Up,AI
Head of Unit to Housing with special service in Hisingen 3.,
Senior Hybrid Infrastructure Engineer,"Azure,Azure,Azure,AWS"
Franchise Partner,
D2C Conversion Manager,
Electric designer,
Mechanical Engineer,
Application Consultant Trainee,"SQL,SQL"
Technology -related test leaders and system developers in Luleå,Java
Developer Matlab/Simulink,
Maintenance Manager,
We are looking for a receptionist for Backer in Sösdala!,
Virtual Assistant (Work From Home),
Supply Chain Management Consultant,
Selling Security Consultant to Vetlanda/Eksjö/Sävsjö,
"Forensics for an institution and detained Saltvik, Härnösand and Ljustadalen",
Accounting Manager to Gävle - Development -focused and strategic role,
Line Manager HVDC System Performance,
Solution architect BI,"SQL,Azure"
Forensics to the facility Haparanda,
Senior Smart Contract Engineer (Solidity),
Secretary of the Local Police Area Höglandet,
Cidan Machinery Sweden is looking for programmers,
Senior Hybrid Infrastructure Engineer,"Azure,Azure,Azure,AWS"
Process developer to Components,
Cloud Architect AWS,AWS
Information Security Expert and Signal Protection Manager to the Migration Board,
Class A Driver with TWIC,
Electric power engineer,
Section Manager to the Unit for Rehabilitation in Ordinary Housing,
Platform Solutions Specialist,JavaScript
AWS DevOps Engineer - Senior,"AWS,AWS,AWS,AWS,AWS"
Store sellers,
BI developer to the laser in Enköping,"SQL,AI,SQL"
Selling Security Consultant to Varberg,
Signal security reviewer in signal technology,
Business developer to the authority management for functional support.,
Technical Project Manager Trainee,
Solutions Architect,AI
Security coordinator to the service department,
Data Engineer - Data Platform Team (m/f/d) | Remote,"Spark,SQL"
CDO and Software architect at Sectra internal IT Services,AI
LVBATS Air Defense Security Pluton at the 2.103 Company Seeking Soldiers,
Join Eaton’s EMEA Service Talent Network!,
Bookkeeper (Work From Home),
Coordinator for elected representatives,
Freelance Medical Consultant - Health Tourism,
Mechanical Supervisor - Gavle - 144402,
Supplier Quality Engineer,
Global E-Commerce Manager,
Quality developer to Stena Recycling AB in Gothenburg,
Penetration Tester,AI
Change Manager,
Area Manager in Dental Care Control in Umeå,
Designer to Martin & Servera Restauranghandel AB,
"Technical Account Manager , ES - Strategic Industries","AWS,AWS,AWS,AWS,AWS,AWS,AWS,AWS,AWS,AWS,AWS,AWS,AWS,AWS,AWS,AWS"
Experienced Audit Consultant | Halmstad,AI
Section Manager to the Department of Authority in the City of Malmö,
Security officers in personnel safety,
Teacher to Polhemsgymnasiet.,
Join Eaton’s EMEA Sales & Service Talent Network!,
Crisis preparedness coordinator to the police area Stockholm Nord,
PEOPLE & CULTURE PARTNER,
Ruby on Rails Developer,"AI,Angular"
Assistant Project Manager (Work From Home),
"Sr. Data Engineer (Remote, International)","Spark,Kubernetes,SQL,Spark,Spark,Spark,SQL,Python,Spark"
Logistics Specialist (AWS Data Center),"AWS,AWS,AWS,AWS,AWS,AWS,AWS"
"IP Operations Specialist, Trust & Safety",
Supply Chain Consultant,
Head of Tech,TypeScript
Postdoctoral Researcher,
IT Technician/Specialist - Job Based Onsite in Dubai,Azure
Planning Lead - Gavle - 144478,
"Contract manager, product support and maintenance JAS 39 Gripen",
HVAC / MECH / Piping Tech Services,
Business Development Manager,
Engineer - Specialist in Implementation of Industrial Projects,
Talent Acquisition Consultants (Göteborg),
Project technician,
Senior Cloud Security Engineer,"AI,Kubernetes"
Product developer,
Senior audit consultants to EY,
Area Manager in Dental Care Control in Åmål,
AWS DevOps Engineer - Tech Lead,"AWS,AWS,AWS,AWS,AWS"
Customer Manager in Sustainable Energy Solutions,
Solution Architect,
Dental hygienist,
CAE Engineer,
BIM Application Specialist,
Assignment Leader Railway Multidisciplinary Assignment,
Production Manager for Wood Production - Institute Rosersberg Vikariat,
Technical Project Manager Trainee,
Mechanical Engineer - Product Development,
Business Development & Engineering Manager,
Client Support Associate (Work From Home),
Technical Program Manager - Vehicle OS,
Solutions Architect - AWS,"AWS,AWS,AWS,AWS,AWS,AWS"
Project Engineer for Project New Rya,
Group Manager to the Police Contact Center in Gothenburg,
Communications Analyst - Digital and Content - Photographer (Retainer),
Lead Planner,
Summer working operating technicians,
Sales Specialist Nordics- Upstream & Fluid Management,
Recruitment coordinator,
Device Manager to the Unit Electro -SOPTIC SYSTEM,
District seller,
Senior Planner - SWEDEN,
"Univ.Adun in arrangement/composition, music theory as well as ensemble",
"Business developer, destination",
Senior Quantity Surveyor - Gavle - 144617,
SVT is looking for media creator with a specialization in graphic design,AI
Area Manager in Dental Care Control in Åmål,
Senior Fullstack .NET developer,"React,SQL,Azure,AWS"
Controller with alignment quotes - HVDC,
Seller/agent for Smålandsvillan,
Construction engineer to fighter aircraft,
Technical seller Stocreec,
